,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000055XA_Sa_0.1g,0.4354861509035306,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000055XA_Sa_0.2g,0.8709723018070612,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000055XA_Sa_0.3g,1.3064584527105918,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000055XA_Sa_0.4g,1.7419446036141224,3.9240000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
000055XA_Sa_0.5g,2.177430754517653,4.905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
000055XA_Sa_0.6g,2.6129169054211836,5.886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4
000055XA_Sa_0.7g,3.0484030563247138,6.867,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4
000055XA_Sa_0.8g,3.483889207228245,7.848000000000001,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4
000055XA_Sa_0.9g,3.9193753581317754,8.829,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4
000055XA_Sa_1.0g,4.354861509035306,9.81,3.0,3.0,2.0,2.0,3.0,4.0,0.0,0.0,4
000055XA_Sa_1.1g,4.790347659938837,10.791000000000002,4.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,4
000055XA_Sa_1.2g,5.225833810842367,11.772,4.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,4
000055XA_Sa_1.3g,5.661319961745897,12.753000000000002,4.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,4
000055XA_Sa_1.4g,6.0968061126494275,13.734,4.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,4
000055XA_Sa_1.5g,6.532292263552958,14.715,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4
000120XA_Sa_0.1g,0.5787226358192572,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000120XA_Sa_0.2g,1.1574452716385144,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000120XA_Sa_0.3g,1.7361679074577712,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000120XA_Sa_0.4g,2.314890543277029,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000120XA_Sa_0.5g,2.8936131790962856,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000120XA_Sa_0.6g,3.4723358149155423,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000120XA_Sa_0.7g,4.051058450734799,6.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
