,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000055XA_Sa_0.1g,0.4623426515820406,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000055XA_Sa_0.2g,0.9246853031640812,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000055XA_Sa_0.3g,1.3870279547461217,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000055XA_Sa_0.4g,1.8493706063281623,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000055XA_Sa_0.5g,2.3117132579102027,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000055XA_Sa_0.6g,2.7740559094922435,5.886,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2
000055XA_Sa_0.7g,3.236398561074284,6.867,4.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,2
000055XA_Sa_0.8g,3.6987412126563246,7.848000000000001,4.0,4.0,3.0,2.0,4.0,4.0,0.0,0.0,2
000055XA_Sa_0.9g,4.161083864238365,8.829,4.0,4.0,3.0,4.0,4.0,4.0,0.0,3.0,2
000055XA_Sa_1.0g,4.623426515820405,9.81,4.0,4.0,2.0,3.0,4.0,4.0,0.0,1.0,2
000055XA_Sa_1.1g,5.085769167402447,10.791000000000002,4.0,4.0,2.0,4.0,4.0,4.0,0.0,3.0,3
000055XA_Sa_1.2g,5.548111818984487,11.772,4.0,4.0,3.0,3.0,4.0,4.0,0.0,2.0,2
000055XA_Sa_1.3g,6.010454470566527,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2
000055XA_Sa_1.4g,6.472797122148568,13.734,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2
000055XA_Sa_1.5g,6.935139773730609,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
000120XA_Sa_0.1g,0.6219918990968363,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000120XA_Sa_0.2g,1.2439837981936726,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000120XA_Sa_0.3g,1.8659756972905086,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000120XA_Sa_0.4g,2.487967596387345,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000120XA_Sa_0.5g,3.109959495484181,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
000120XA_Sa_0.6g,3.731951394581017,5.886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
000120XA_Sa_0.7g,4.353943293677853,6.867,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
000120XA_Sa_0.8g,4.97593519277469,7.848000000000001,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
000120XA_Sa_0.9g,5.597927091871527,8.829,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2
000120XA_Sa_1.0g,6.219918990968362,9.81,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2
000120XA_Sa_1.1g,6.841910890065199,10.791000000000002,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,3
000120XA_Sa_1.2g,7.463902789162034,11.772,2.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,3
000120XA_Sa_1.3g,8.08589468825887,12.753000000000002,2.0,3.0,2.0,3.0,0.0,4.0,0.0,0.0,3
000120XA_Sa_1.4g,8.707886587355706,13.734,4.0,4.0,2.0,3.0,0.0,4.0,0.0,0.0,4
000120XA_Sa_1.5g,9.329878486452543,14.715,3.0,4.0,3.0,3.0,3.0,4.0,0.0,0.0,4
000123XA_Sa_0.1g,0.46808206253998325,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000123XA_Sa_0.2g,0.9361641250799665,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000123XA_Sa_0.3g,1.4042461876199497,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000123XA_Sa_0.4g,1.872328250159933,3.9240000000000004,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
000123XA_Sa_0.5g,2.340410312699916,4.905,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2
000123XA_Sa_0.6g,2.8084923752398994,5.886,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,3
